epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0576,3.19941,5.00749,4.18989,0,0,0,0,3.43467,3.7359,4.13755,0.000363836,0.000363836,0.000363836
2,18.7688,2.86563,4.58695,3.84644,0,0,0,0,3.04836,3.82033,4.02126,0.000732716,0.000732716,0.000732716
3,27.1584,2.56937,4.30735,3.55686,0.01113,0.61899,0.08532,0.0318,2.15009,3.39337,3.51634,0.00110013,0.00110013,0.00110013
4,35.7339,2.32722,4.10787,3.31795,0.72006,0.11075,0.20752,0.08611,1.59974,2.86193,2.96308,0.0011044,0.0011044,0.0011044
5,43.9546,2.21482,3.87587,3.18466,0.77842,0.19374,0.28026,0.12807,1.58549,2.769,2.86223,0.0011022,0.0011022,0.0011022
6,53.0923,2.13616,3.69602,3.08627,0.79294,0.22861,0.38576,0.17837,1.52982,2.53826,2.77961,0.0011,0.0011,0.0011
7,62.0952,2.0085,3.45483,2.9319,0.4755,0.43936,0.41068,0.20459,1.56255,2.29728,2.7656,0.0010978,0.0010978,0.0010978
8,70.7236,1.93247,3.25146,2.85779,0.8528,0.31632,0.48749,0.25642,1.50645,2.22922,2.74501,0.0010956,0.0010956,0.0010956
9,80.0685,1.92051,3.11293,2.807,0.47736,0.39766,0.47623,0.26483,1.51189,2.20135,2.71182,0.0010934,0.0010934,0.0010934
10,88.8969,1.77851,2.94863,2.64178,0.77801,0.37084,0.55067,0.32653,1.34797,2.09208,2.58471,0.0010912,0.0010912,0.0010912
11,97.8426,1.71914,2.78799,2.60142,0.46551,0.51374,0.55846,0.33197,1.29222,2.01852,2.47278,0.001089,0.001089,0.001089
12,104.817,1.6789,2.71849,2.5696,0.60533,0.61612,0.66749,0.42591,1.25484,1.6431,2.43652,0.0010868,0.0010868,0.0010868
13,113.965,1.6196,2.57604,2.49339,0.59928,0.50841,0.53714,0.3213,1.42094,2.30438,2.70908,0.0010846,0.0010846,0.0010846
14,123.103,1.59444,2.47503,2.46624,0.58181,0.62969,0.67722,0.44028,1.22877,1.552,2.4349,0.0010824,0.0010824,0.0010824
15,131.825,1.55024,2.37339,2.42642,0.55379,0.71372,0.70562,0.47793,1.1862,1.44909,2.35203,0.0010802,0.0010802,0.0010802
16,140.678,1.54923,2.31505,2.40229,0.62301,0.70718,0.69352,0.46817,1.12024,1.40164,2.32631,0.001078,0.001078,0.001078
17,149.463,1.42632,2.0596,2.34297,0.6853,0.60862,0.67899,0.45855,1.27656,1.45947,2.42979,0.0010758,0.0010758,0.0010758
18,157.578,1.44232,2.22814,2.33643,0.61556,0.75664,0.77389,0.52028,1.1581,1.32278,2.31155,0.0010736,0.0010736,0.0010736
