epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.38991,0.98312,3.19202,1.33134,0.96601,0.13839,0.39027,0.30106,0.78957,3.19847,1.28903,0.000363836,0.000363836,0.000363836
2,11.9436,0.9172,2.0829,1.22201,0.58012,0.69399,0.6449,0.49494,0.83424,2.11615,1.29347,0.000732716,0.000732716,0.000732716
3,16.3815,0.92682,1.76517,1.20619,0.60697,0.7825,0.78406,0.63099,0.75349,1.33746,1.17942,0.00110013,0.00110013,0.00110013
4,20.8936,0.9245,1.5986,1.19317,0.71142,0.8429,0.80253,0.63281,0.78606,1.19624,1.19746,0.0011044,0.0011044,0.0011044
5,25.9515,0.90658,1.36976,1.17419,0.50828,0.58215,0.54358,0.42576,0.83667,2.15302,1.30375,0.0011022,0.0011022,0.0011022
6,30.6345,0.87234,1.27581,1.16354,0.68441,0.83743,0.79873,0.63488,0.7996,1.03426,1.177,0.0011,0.0011,0.0011
7,35.1017,0.86268,1.17773,1.1575,0.85311,0.88217,0.92348,0.74915,0.73216,0.79231,1.1128,0.0010978,0.0010978,0.0010978
8,39.6361,0.82874,1.02761,1.13148,0.91296,0.90047,0.93641,0.74739,0.75883,0.74552,1.13049,0.0010956,0.0010956,0.0010956
9,44.1184,0.84532,1.00263,1.13687,0.63267,0.82119,0.83825,0.66159,0.77003,1.00216,1.14691,0.0010934,0.0010934,0.0010934
10,48.4932,0.8255,0.93219,1.13172,0.69851,0.79691,0.82374,0.66533,0.73874,0.97485,1.12181,0.0010912,0.0010912,0.0010912
11,52.7646,0.81453,0.90498,1.11984,0.85396,0.64764,0.786,0.57319,1.10893,1.09869,1.53552,0.001089,0.001089,0.001089
12,57.0282,0.81215,0.84866,1.1207,0.8897,0.91108,0.95453,0.81267,0.67025,0.61122,1.04983,0.0010868,0.0010868,0.0010868
13,61.5587,0.82308,0.81568,1.12608,0.72771,0.85834,0.85142,0.69978,0.70102,0.89941,1.0814,0.0010846,0.0010846,0.0010846
14,65.8528,0.81115,0.79557,1.11995,0.89872,0.92353,0.97999,0.82732,0.65864,0.55018,1.05713,0.0010824,0.0010824,0.0010824
15,70.1562,0.81537,0.77024,1.11089,0.85395,0.91556,0.97276,0.76967,0.78625,0.5938,1.1999,0.0010802,0.0010802,0.0010802
16,74.4761,0.8164,0.75353,1.11504,0.8122,0.86021,0.90837,0.75751,0.68601,0.89302,1.08465,0.001078,0.001078,0.001078
17,78.8547,0.75996,0.70191,1.07684,0.84732,0.88085,0.9606,0.80778,0.6763,0.62813,1.06812,0.0010758,0.0010758,0.0010758
18,83.3751,0.78818,0.68468,1.09381,0.83813,0.91807,0.96175,0.79811,0.7006,0.62054,1.09539,0.0010736,0.0010736,0.0010736
19,87.8856,0.76004,0.69703,1.07666,0.81551,0.90265,0.96041,0.80195,0.69355,0.63868,1.09164,0.0010714,0.0010714,0.0010714
20,92.7635,0.7451,0.64745,1.07086,0.91385,0.91692,0.94777,0.80409,0.68018,0.53434,1.07558,0.0010692,0.0010692,0.0010692
21,97.2547,0.7711,0.68039,1.08625,0.85241,0.90501,0.91582,0.78869,0.65456,0.66603,1.05567,0.001067,0.001067,0.001067
22,101.666,0.76392,0.64899,1.08408,0.94317,0.91315,0.96875,0.79058,0.7142,0.49389,1.13323,0.0010648,0.0010648,0.0010648
23,106.009,0.75977,0.64989,1.07954,0.90855,0.92409,0.97438,0.80404,0.71143,0.52212,1.11483,0.0010626,0.0010626,0.0010626
24,110.296,0.75319,0.62823,1.07514,0.8577,0.91915,0.95974,0.8097,0.63485,0.51202,1.04307,0.00106041,0.00106041,0.00106041
25,114.602,0.76047,0.64649,1.07923,0.95689,0.92716,0.9784,0.83925,0.64017,0.44693,1.03603,0.00105821,0.00105821,0.00105821
26,118.973,0.75852,0.63968,1.07394,0.86117,0.89922,0.96665,0.82616,0.64483,0.64725,1.04711,0.00105601,0.00105601,0.00105601
27,123.232,0.74246,0.60165,1.06752,0.86538,0.87601,0.93461,0.76965,0.70986,0.65715,1.14123,0.00105381,0.00105381,0.00105381
28,127.45,0.75331,0.60471,1.07457,0.94332,0.96957,0.97962,0.83328,0.61768,0.38806,1.02655,0.00105161,0.00105161,0.00105161
29,131.933,0.75891,0.5895,1.07084,0.94906,0.94962,0.98587,0.83218,0.65748,0.38779,1.0564,0.00104941,0.00104941,0.00104941
30,136.386,0.74761,0.56824,1.06922,0.93067,0.92541,0.97238,0.83374,0.62524,0.45818,1.02307,0.00104721,0.00104721,0.00104721
31,140.931,0.75454,0.5836,1.07216,0.96177,0.97683,0.98231,0.8208,0.6894,0.39486,1.08065,0.00104501,0.00104501,0.00104501
32,145.575,0.72462,0.59587,1.06012,0.93915,0.90188,0.97224,0.80094,0.71527,0.50422,1.12363,0.00104281,0.00104281,0.00104281
33,150.11,0.71691,0.5512,1.05421,0.95417,0.93097,0.97477,0.83825,0.62214,0.41683,1.01946,0.00104061,0.00104061,0.00104061
34,154.55,0.73829,0.59045,1.06692,0.87485,0.92335,0.97454,0.82756,0.67903,0.5193,1.06042,0.00103841,0.00103841,0.00103841
35,158.947,0.73058,0.58014,1.06278,0.86837,0.9498,0.95739,0.80423,0.66985,0.47533,1.07666,0.00103621,0.00103621,0.00103621
36,163.204,0.725,0.54638,1.06184,0.90624,0.95401,0.96834,0.82716,0.63015,0.42926,1.0299,0.00103401,0.00103401,0.00103401
37,167.76,0.73686,0.55256,1.06008,0.92644,0.9273,0.97537,0.84894,0.60677,0.41533,1.00635,0.00103181,0.00103181,0.00103181
38,172.098,0.71134,0.55678,1.05118,0.90299,0.86558,0.9303,0.8034,0.62298,0.64874,1.0239,0.00102961,0.00102961,0.00102961
39,176.399,0.72778,0.57282,1.06371,0.94352,0.95684,0.98379,0.78945,0.75873,0.39146,1.19398,0.00102741,0.00102741,0.00102741
40,180.648,0.70149,0.51318,1.033,0.94355,0.94593,0.98283,0.82551,0.65276,0.40545,1.06134,0.00102521,0.00102521,0.00102521
41,184.82,0.71496,0.5003,1.0576,0.98524,0.93813,0.98639,0.84957,0.64385,0.38199,1.0466,0.00102301,0.00102301,0.00102301
42,189.028,0.70882,0.51173,1.04946,0.965,0.98903,0.98808,0.85486,0.629,0.32882,1.03215,0.00102081,0.00102081,0.00102081
43,193.438,0.71362,0.52663,1.05186,0.94801,0.95777,0.98442,0.84595,0.63578,0.38092,1.03142,0.00101861,0.00101861,0.00101861
44,197.89,0.72951,0.55546,1.05588,0.89249,0.9269,0.96926,0.80667,0.69073,0.47871,1.09276,0.00101641,0.00101641,0.00101641
45,202.557,0.75657,0.55473,1.0695,0.94444,0.93431,0.9803,0.84447,0.62583,0.40969,1.02815,0.00101421,0.00101421,0.00101421
46,206.924,0.70533,0.49936,1.04473,0.97061,0.96512,0.98159,0.85099,0.61671,0.34436,1.02253,0.00101201,0.00101201,0.00101201
47,211.287,0.71436,0.49968,1.05383,0.91342,0.9194,0.97159,0.81056,0.69319,0.45443,1.0949,0.00100981,0.00100981,0.00100981
48,215.628,0.6952,0.50367,1.03405,0.9426,0.93726,0.98559,0.84793,0.63932,0.41041,1.0309,0.00100761,0.00100761,0.00100761
49,219.862,0.69105,0.51386,1.02987,0.90297,0.90254,0.97334,0.81729,0.69435,0.51938,1.09396,0.00100541,0.00100541,0.00100541
50,224.168,0.70102,0.4837,1.03911,0.97682,0.97624,0.98871,0.85999,0.59076,0.32109,1.00136,0.00100321,0.00100321,0.00100321
51,228.457,0.68508,0.47667,1.032,0.936,0.95329,0.97916,0.84121,0.62189,0.39145,1.01863,0.00100101,0.00100101,0.00100101
52,232.766,0.68816,0.48369,1.0403,0.90404,0.94403,0.96539,0.83883,0.622,0.42335,1.01251,0.000998811,0.000998811,0.000998811
53,237.33,0.69837,0.50619,1.04785,0.95683,0.95769,0.98279,0.84051,0.65098,0.37375,1.03346,0.000996611,0.000996611,0.000996611
54,241.782,0.70634,0.50718,1.05056,0.90717,0.88666,0.9577,0.7384,0.8605,0.49764,1.33681,0.000994412,0.000994412,0.000994412
55,246.019,0.69606,0.47848,1.03649,0.93392,0.95491,0.98202,0.84523,0.62284,0.36768,1.02915,0.000992212,0.000992212,0.000992212
56,250.551,0.70073,0.49968,1.04376,0.95262,0.90965,0.9748,0.84601,0.60999,0.411,1.00575,0.000990012,0.000990012,0.000990012
