epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5761,1.0949,3.84352,1.61331,0.00972,0.99506,0.57561,0.42269,0.93195,3.5246,1.49364,0.000363836,0.000363836,0.000363836
2,36.3142,0.96636,2.66925,1.44069,0.5193,0.58172,0.58533,0.42997,0.92145,2.74204,1.47864,0.000732716,0.000732716,0.000732716
3,46.417,0.95543,2.2221,1.43032,0.48497,0.52315,0.62578,0.3988,1.32702,2.28122,1.85439,0.00110013,0.00110013,0.00110013
4,56.1108,0.92225,1.9164,1.38216,0.64119,0.65194,0.68688,0.527,0.94307,1.62733,1.44541,0.0011044,0.0011044,0.0011044
5,65.7893,0.93542,1.64873,1.3891,0.6519,0.68694,0.66158,0.49062,1.02322,1.47078,1.50682,0.0011022,0.0011022,0.0011022
6,75.6682,0.92251,1.4497,1.36951,0.75058,0.61982,0.81695,0.65004,0.80177,1.50043,1.33001,0.0011,0.0011,0.0011
7,85.5716,0.89561,1.24142,1.35474,0.87036,0.81874,0.93623,0.71262,0.87968,0.80582,1.39203,0.0010978,0.0010978,0.0010978
8,95.5138,0.88709,1.14109,1.34274,0.77523,0.85297,0.93113,0.73404,0.79342,0.79122,1.28403,0.0010956,0.0010956,0.0010956
9,105.161,0.86332,1.07261,1.32205,0.69659,0.71371,0.83941,0.65223,0.83572,1.58669,1.32909,0.0010934,0.0010934,0.0010934
10,114.914,0.89205,1.04004,1.33165,0.90318,0.91338,0.96682,0.77449,0.79706,0.67782,1.29012,0.0010912,0.0010912,0.0010912
11,124.597,0.84227,0.92302,1.2974,0.90471,0.76692,0.88538,0.68586,0.86506,0.82861,1.35514,0.001089,0.001089,0.001089
12,134.408,0.85195,0.86821,1.29893,0.88326,0.8635,0.92839,0.73007,0.84628,0.6961,1.32135,0.0010868,0.0010868,0.0010868
13,144.282,0.84771,0.87682,1.30808,0.92721,0.90698,0.96932,0.76185,0.8204,0.58389,1.29005,0.0010846,0.0010846,0.0010846
14,154.393,0.83737,0.85513,1.30089,0.85856,0.9045,0.95715,0.77465,0.7607,0.63562,1.25166,0.0010824,0.0010824,0.0010824
15,164.069,0.82946,0.7855,1.28588,0.94946,0.93395,0.9741,0.78675,0.80594,0.54582,1.27792,0.0010802,0.0010802,0.0010802
16,173.795,0.83195,0.76786,1.29218,0.97363,0.92619,0.97828,0.7864,0.77665,0.48084,1.25864,0.001078,0.001078,0.001078
17,183.507,0.83781,0.72511,1.28591,0.90556,0.73672,0.89177,0.67898,0.88374,0.82038,1.38611,0.0010758,0.0010758,0.0010758
18,193.252,0.81163,0.73283,1.28634,0.94463,0.72974,0.96361,0.69509,1.01204,0.76908,1.51426,0.0010736,0.0010736,0.0010736
19,203.169,0.81703,0.7332,1.2754,0.89513,0.83749,0.94044,0.74191,0.86722,0.70328,1.35412,0.0010714,0.0010714,0.0010714
20,213.048,0.82982,0.73881,1.3009,0.74314,0.79988,0.86047,0.67613,0.81449,1.05137,1.31449,0.0010692,0.0010692,0.0010692
21,222.887,0.80775,0.73989,1.25604,0.9197,0.91917,0.96912,0.79974,0.73868,0.52893,1.21099,0.001067,0.001067,0.001067
