epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4862,2.63144,5.05238,4.13048,0.00062,0.27822,0.00058,0.00017,2.37578,4.47949,4.23295,0.000363836,0.000363836,0.000363836
2,38.3908,2.34789,4.22376,3.28676,0.0006,0.32616,0.03881,0.01608,2.20484,3.47008,4.14769,0.000732716,0.000732716,0.000732716
3,49.239,2.04211,3.57411,2.8049,0.37712,0.26514,0.31957,0.18116,1.57663,3.00663,2.39171,0.00110013,0.00110013,0.00110013
4,59.8793,1.69052,3.02646,2.42789,0.68162,0.59559,0.61547,0.42184,1.24085,1.6432,1.96291,0.0011044,0.0011044,0.0011044
5,70.5182,1.57215,2.59803,2.25122,0.58847,0.77237,0.75224,0.51503,1.10174,1.41411,1.81098,0.0011022,0.0011022,0.0011022
6,80.8642,1.40853,2.27095,2.08601,0.66933,0.80926,0.76649,0.55642,0.97977,1.16211,1.64819,0.0011,0.0011,0.0011
7,91.4261,1.30423,2.01222,1.97107,0.58096,0.81279,0.78827,0.58515,0.95123,1.38554,1.55694,0.0010978,0.0010978,0.0010978
8,102.303,1.27842,1.90565,1.94352,0.61226,0.8239,0.81935,0.59413,0.96923,1.20552,1.6,0.0010956,0.0010956,0.0010956
9,112.804,1.22527,1.73872,1.85614,0.81296,0.85467,0.86675,0.66091,0.91719,1.04774,1.5373,0.0010934,0.0010934,0.0010934
10,122.928,1.22521,1.73279,1.85852,0.73867,0.73741,0.82328,0.61619,0.90903,1.14892,1.54124,0.0010912,0.0010912,0.0010912
11,133.548,1.13285,1.57849,1.77251,0.76815,0.88491,0.92345,0.69959,0.90771,0.90275,1.48071,0.001089,0.001089,0.001089
12,144.041,1.11616,1.51438,1.71446,0.8877,0.84106,0.92689,0.6934,0.98053,0.93567,1.52868,0.0010868,0.0010868,0.0010868
